 <MISSION_TIME>,<TEAM ID>, <PACKET_COUNT>, <MODE>, <STATE>, <ALTITUDE>, <TEMPERATURE>, <PRESSURE>,<VOLTAGE>, <GYRO-R>, <GYRO-P>, <GYRO_Y>, <ACCEL_R>, <ACCEL_P>, <ACCEL_Y>, <MAG_R>, <MAG_P>, <MAG_Y>, <AUTO_GYRO_ROTATION_RATE>, <GPS_TIME>, <GPS_ALTITUDE>, <GPS_LATITUDE>, <GPS_LONGTITUDE>, <GPS_SATS>, <CMD_ECHO>
12:12:12,3139,35,F,LAUNCH_PAD ,5,25.3,101,3.3,180,281,155,123,10,255,25,111,354,180,12:12:12,5,37.3356,126.5558,4,STGPS  
12:12:13,3139,36,F,LAUNCH_PAD ,5,26.95524274,95.69797868,3.302161199,169.7701612,303.459956,142.2660493,125.6103465,10.35527301,272.6661078,23.34071964,103.978994,350.933031,173.0901428,12:12:13,5,23.11530048,30.13945396,2,STGPS  
12:12:14,3139,37,F,LAUNCH_PAD ,5,24.35521202,130.3177368,3.299203123,170.2131686,300.4438946,163.2797366,128.4591447,9.988144631,241.366209,22.92448144,113.2394248,379.5907923,196.1367701,12:12:14,5,23.11530048,30.13945396,0,STGPS  
12:12:15,3139,38,F,LAUNCH_PAD ,5,24.02682039,190.0017624,3.302977569,181.5375478,289.5021383,154.0012522,123.5527543,9.052776771,264.2357181,22.6402787,111.6356495,353.3247797,183.1545623,12:12:15,5,23.11530048,30.13945396,2,STGPS  
12:12:16,3139,39,F,LAUNCH_PAD ,5,24.38421647,135.0650752,3.301669385,167.4007383,259.9132006,163.2782169,111.0588463,10.83730669,261.383181,27.1908169,103.8529915,364.2260157,176.325866,12:12:16,5,23.11530048,30.13945396,2,STGPS  
12:12:17,3139,40,F,LAUNCH_PAD ,5,27.14431023,161.8908805,3.303144642,174.9661156,296.7956082,163.7076135,111.9328062,10.03679528,245.5856099,26.15850582,107.265752,320.0264146,190.1734536,12:12:17,5,23.11530048,30.13945396,4,STGPS  
12:12:18,3139,41,F,LAUNCH_PAD ,5,24.55591315,177.0790833,3.299360514,182.0212365,301.8934728,152.421797,119.558174,9.508726892,251.1143423,23.10888612,110.3412185,334.5267358,184.1156537,12:12:18,5,23.11530048,30.13945396,0,STGPS  
12:12:19,3139,42,F,LAUNCH_PAD ,5,24.56459824,155.2834997,3.301082961,175.1473379,254.928032,162.592965,112.0621174,10.4429868,246.313935,23.40533132,103.1258372,328.3799352,174.1737722,12:12:19,5,23.11530048,30.13945396,2,STGPS  
12:12:20,3139,43,F,LAUNCH_PAD ,5,24.89463051,156.7778169,3.303251853,191.1024281,280.7814944,149.3544092,120.4313676,10.53175624,241.2396633,23.91400235,119.3415427,379.7296568,168.5430743,12:12:20,5,23.11530048,30.13945396,2,STGPS  
12:12:21,3139,44,F,LAUNCH_PAD ,5,25.28072182,150.2633665,3.302014638,197.0738974,263.638919,151.5913479,129.1292507,9.568155608,251.5730138,25.82816078,117.5853649,379.2955499,186.007296,12:12:21,5,23.11530048,30.13945396,4,STGPS  
12:12:22,3139,45,F,FLIGHT,5,25.36431554,201.6428572,3.301810522,183.4805722,275.9640047,163.7396401,114.8770024,10.61973525,261.2895551,26.19052372,107.2691666,324.912979,169.5844901,12:12:22,5,23.11530048,30.13945396,4,STGPS  
12:12:23,3139,46,F,FLIGHT,5,24.0232039,189.3655214,3.297524201,175.2150051,264.4351068,163.7271403,128.7611727,9.926194446,247.0895469,25.59826462,114.6876726,342.7813569,195.9376003,12:12:23,5,23.11530048,30.13945396,0,STGPS  
12:12:24,3139,47,F,FLIGHT,5,23.96395365,174.5132764,3.297925494,180.8101354,272.5735523,161.6741322,114.5325638,9.241453827,269.0077569,26.54940297,101.2259525,366.3253536,196.5800388,12:12:24,5,23.11530048,30.13945396,0,STGPS  
