cycle,t,dt,phase,preset,input_target_E,input_target_N,input_payload_E,input_payload_N,input_course_deg,input_speed_mps,input_yaw_deg,input_gyrz_dps,input_baro_alt_m,input_baro_sink_mps,input_gps_pos_state,input_gps_motion_state,input_yaw_state,input_gyrz_state,input_baro_state,input_acc_state,mode,fail_reason,gps_pos_fresh,gps_motion_fresh,imu_gyrz_fresh,imu_yaw_fresh,baro_sink_fresh,acc_fresh,nav_valid,nav_E,nav_N,nav_V,nav_course_deg,nav_confidence,dr_anchor_valid,dr_current_valid,dr_age_s,dr_confidence,dr_method,dr_current_E_before_l1input,dr_current_N_before_l1input,dr_current_E_after_l1input,dr_current_N_after_l1input,dr_double_integrated_by_l1input,dr_speed_source,baro_sink_spike,speed_clamped,l1_valid,l1_reason,l1out_valid,l1out_reason,target_distance_m,nu_deg,abs_nu_deg,target_bearing_deg,yaw_rate_cmd_dps,yaw_rate_limit_dps,pid_enabled,ctrl_valid,ctrl_reason,delta_ff_deg,delta_pid_deg,delta_arm_deg,left_angle_deg,right_angle_deg,right_minus_left_angle_deg,left_pw,right_pw,saturated,target_side,cmd_side,arm_side,target_pointing_ok
1,1000.0,0.05,main,GPS_DROPOUT_SEQUENCE_RIGHT,80.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,40.0,2.0,on,on,on,on,on,on,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,True,True,True,True,0.0,0.0,4.0,0.0,1.0,True,True,0.0,1.0,NONE,0.0,0.0,0.0,0.0,False,,False,False,True,GPS_NAV,True,GPS_NAV,82.46211251221041,75.96375653212593,75.96375653212593,75.96375653212593,37.056713856406716,59.99999999999999,True,True,OK,80.23244539472667,23.568070012674674,103.80051540740135,74.0,86.0,12.0,1657,1591,False,RIGHT,RIGHT,RIGHT,True
2,1000.05,0.05,main,GPS_DROPOUT_SEQUENCE_RIGHT,80.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,40.0,2.0,on,on,on,on,on,on,GPS_TRACKING_CLOSED,GPS_NAV,True,True,True,True,True,True,True,0.0,0.0,4.0,0.0,1.0,True,True,0.0,1.0,NONE,0.0,0.0,0.0,0.0,False,,False,False,True,GPS_NAV,True,GPS_NAV,82.46211251221041,75.96375653212593,75.96375653212593,75.96375653212593,37.056713856406716,59.99999999999999,True,True,OK,80.23244539472667,25.532075847062444,105.76452124178911,71.00000000000273,88.99999999999727,17.999999999994543,1691,1624,False,RIGHT,RIGHT,RIGHT,True
3,1000.0999999999999,0.05,main,GPS_DROPOUT_SEQUENCE_RIGHT,80.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,40.0,2.0,on,off,on,on,on,on,DR_M_GBA_CLOSED,DR_M_GBA_CLOSED,True,False,True,True,True,True,True,0.0,0.0,4.4,0.0,1.0,True,True,0.049999999999954525,1.0,GYRO_ACC_BLEND,0.0,0.0,0.0,0.0,False,SPEED_BARO,False,False,True,DR_M_GBA_CLOSED,True,DR_M_GBA_CLOSED,82.46211251221041,75.96375653212593,75.96375653212593,75.96375653212593,40.762385242047394,50.0,True,True,OK,95.27588707542107,22.30628890586123,117.58217598128229,68.00000000000546,91.99999999999454,23.999999999989086,1724,1658,False,RIGHT,RIGHT,RIGHT,True
4,1000.1499999999999,0.05,main,GPS_DROPOUT_SEQUENCE_RIGHT,80.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,40.0,2.0,on,off,on,on,on,on,DR_M_GBA_CLOSED,DR_M_GBA_CLOSED,True,False,True,True,True,True,True,0.0,0.0,4.4,0.0,1.0,True,True,0.09999999999990905,1.0,GYRO_ACC_BLEND,0.0,0.0,0.0,0.0,False,SPEED_BARO,False,False,True,DR_M_GBA_CLOSED,True,DR_M_GBA_CLOSED,82.46211251221041,75.96375653212593,75.96375653212593,75.96375653212593,40.762385242047394,50.0,True,True,OK,95.27588707542107,23.916403122920638,119.19229019834171,65.00000000000819,94.99999999999181,29.99999999998363,1757,1691,False,RIGHT,RIGHT,RIGHT,True
5,1000.1999999999998,0.05,main,GPS_DROPOUT_SEQUENCE_RIGHT,80.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,40.0,2.0,on,off,on,on,on,on,DR_M_GBA_CLOSED,DR_M_GBA_CLOSED,True,False,True,True,True,True,True,0.0,0.0,4.4,0.0,1.0,True,True,0.14999999999986358,1.0,GYRO_ACC_BLEND,0.0,0.0,0.0,0.0,False,SPEED_BARO,False,False,True,DR_M_GBA_CLOSED,True,DR_M_GBA_CLOSED,82.46211251221041,75.96375653212593,75.96375653212593,75.96375653212593,40.762385242047394,50.0,True,True,OK,95.27588707542107,25.526517339980046,120.80240441540111,62.000000000010914,97.99999999998909,35.99999999997817,1791,1724,False,RIGHT,RIGHT,RIGHT,True
6,1000.2499999999998,0.05,main,GPS_DROPOUT_SEQUENCE_RIGHT,80.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,40.0,2.0,off,off,on,on,on,on,DR_PM_GBA_CLOSED,DR_PM_GBA_CLOSED,False,False,True,True,True,True,True,0.0,0.21999999999979994,4.4,0.0,1.0,True,True,0.1999999999998181,1.0,GYRO_ACC_BLEND,0.0,0.21999999999979994,0.0,0.21999999999979994,False,SPEED_BARO,False,False,True,DR_PM_GBA_CLOSED,True,DR_PM_GBA_CLOSED,82.40903105835248,76.11214717677336,76.11214717677336,76.11214717677336,40.78864118321763,45.0,True,True,OK,83.25517283317215,20.463970509317225,103.71914334248937,59.00000000001364,100.99999999998636,41.999999999972715,1824,1758,False,RIGHT,RIGHT,RIGHT,True
7,1000.2999999999997,0.05,main,GPS_DROPOUT_SEQUENCE_RIGHT,80.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,40.0,2.0,off,off,on,on,on,on,DR_PM_GBA_CLOSED,DR_PM_GBA_CLOSED,False,False,True,True,True,True,True,0.0,0.4399999999995999,4.4,0.0,1.0,True,True,0.24999999999977263,1.0,GYRO_ACC_BLEND,0.0,0.4399999999995999,0.0,0.4399999999995999,False,SPEED_BARO,False,False,True,DR_PM_GBA_CLOSED,True,DR_PM_GBA_CLOSED,82.35650308249227,76.2607281098119,76.2607281098119,76.2607281098119,40.81465667293916,45.0,True,True,OK,83.33196665786444,21.244397001881747,104.57636365974619,56.00000000001637,103.99999999998363,47.99999999996726,1857,1791,False,RIGHT,RIGHT,RIGHT,True
8,1000.3499999999997,0.05,main,GPS_DROPOUT_SEQUENCE_RIGHT,80.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,40.0,2.0,off,off,on,on,on,on,DR_PM_GBA_CLOSED,DR_PM_GBA_CLOSED,False,False,True,True,True,True,True,0.0,0.6599999999993998,4.4,0.0,1.0,True,True,0.29999999999972715,1.0,GYRO_ACC_BLEND,0.0,0.6599999999993998,0.0,0.6599999999993998,False,SPEED_BARO,False,False,True,DR_PM_GBA_CLOSED,True,DR_PM_GBA_CLOSED,82.30452964434348,76.40949769531628,76.40949769531628,76.40949769531628,40.840430200147466,45.0,True,True,OK,83.40807038339122,21.25212906004424,104.66019944343546,53.0000000000191,106.9999999999809,53.9999999999618,1891,1824,False,RIGHT,RIGHT,RIGHT,True
9,1000.3999999999996,0.05,main,GPS_DROPOUT_SEQUENCE_RIGHT,80.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,40.0,2.0,off,off,on,on,on,on,DR_PM_GBA_CLOSED,DR_PM_GBA_CLOSED,False,False,True,True,True,True,True,0.0,0.8799999999991998,4.4,0.0,1.0,True,True,0.3499999999996817,1.0,GYRO_ACC_BLEND,0.0,0.8799999999991998,0.0,0.8799999999991998,False,SPEED_BARO,False,False,True,DR_PM_GBA_CLOSED,True,DR_PM_GBA_CLOSED,82.25311179509666,76.55845428302963,76.55845428302963,76.55845428302963,40.86596026262628,45.0,True,True,OK,83.48347888782116,21.259788078787885,104.74326696660904,50.00000000002183,109.99999999997817,59.999999999956344,1924,1858,False,RIGHT,RIGHT,RIGHT,True
10,1000.4499999999996,0.05,main,GPS_DROPOUT_SEQUENCE_RIGHT,80.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,40.0,2.0,off,off,on,on,on,on,DR_PM_GBA_CLOSED,DR_PM_GBA_CLOSED,False,False,True,True,True,True,True,0.0,1.0999999999989998,4.4,0.0,1.0,True,True,0.3999999999996362,1.0,GYRO_ACC_BLEND,0.0,1.0999999999989998,0.0,1.0999999999989998,False,SPEED_BARO,False,False,True,DR_PM_GBA_CLOSED,True,DR_PM_GBA_CLOSED,82.20225057732132,76.70759620843266,76.70759620843266,76.70759620843266,40.89124536723009,45.0,True,True,OK,83.55818707731682,21.267373610169027,104.82556068748585,47.000000000024556,112.99999999997544,65.99999999995089,1957,1891,False,RIGHT,RIGHT,RIGHT,True
