host_time,monotonic_s,state,motor_enabled,diag_state,guidance_reason,fail_reason,confidence_scale,guidance_mode,control_mode,nominal,degraded,valid,gps_lat,gps_lon,gps_course_deg,gps_speed_mps,gps_pos_health,gps_motion_health,gps_pos_age_s,gps_motion_age_s,imu_gyrz_deg_s,imu_health,imu_age_s,baro_alt_m,baro_health,baro_age_s,start_lat,start_lon,target_lat,target_lon,pos_N_m,pos_E_m,target_N_m,target_E_m,carrot_N_m,carrot_E_m,carrot_lat,carrot_lon,crossTrack_m,alongTrack_m,L1_distance_m,nu_deg,nu1_deg,nu2_deg,current_heading_deg,lat_acc_cmd_mps2,angular_velocity_cmd_deg_s,angular_velocity_meas_deg_s,angular_velocity_error_deg_s,delta_ff_deg,delta_pid_deg,delta_arm_deg,left_angle_deg,right_angle_deg,left_pw_us,right_pw_us,saturated,sensor_valid,guidance_command_age_s,fallback_mode
2026-05-17T18:37:18.299,2387.201249,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,,0,,,0,,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-17T18:37:18.351,2387.253629,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,2387.2536,0.000,0,2387.2536,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-17T18:37:18.402,2387.304965,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,2387.3050,-5.000,0,0.1316,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-17T18:37:18.453,2387.355841,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,2387.3558,-5.000,0,0.1824,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-17T18:37:18.503,2387.406454,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,2387.4065,-5.000,0,0.1321,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-17T18:37:18.554,2387.457089,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,2387.4571,-5.000,0,0.1827,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-17T18:37:18.605,2387.507897,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,2387.5079,-5.000,0,0.1330,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-17T18:37:18.656,2387.558692,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,2387.5587,-5.000,0,0.1838,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-17T18:37:18.707,2387.609726,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,2387.6097,-5.000,0,0.1341,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-17T18:37:18.757,2387.660189,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,2387.6602,-5.000,0,0.1846,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-17T18:37:18.808,2387.710965,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,2387.7110,-5.000,0,0.1346,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-17T18:37:18.859,2387.762028,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,2387.7620,-5.000,0,0.1856,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-17T18:37:18.910,2387.813206,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,2387.8132,-5.000,0,0.1365,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-17T18:37:18.961,2387.864217,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,2387.8642,-5.000,0,0.1875,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
2026-05-17T18:37:19.013,2387.915997,0,1,IDLE,IDLE,NONE,0.0000,,IDLE,0,0,0,,,,,0,0,,,-0.0000,0,2387.9160,-5.000,0,0.1387,37.55000000,126.95000000,,,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000,80.0000,80.0000,1591,1524,0,0,0.0000,IDLE
