time,state,control_mode,l1input_valid,l1output_valid,fail_reason,gps_pos_fresh,gps_motion_fresh,imu_gyrz_fresh,imu_yaw_fresh,baro_sink_fresh,acc_fresh,dr_current_valid,dr_confidence,nav_E,nav_N,nav_V,nav_course_deg,yaw_rate_cmd_dps,left_pwm_est,right_pwm_est,origin_lock_source,yaw_saturated,servo_saturated,before_mode
1742.821,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,0,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1742.872,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1742.922,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1742.972,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.022,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.072,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.122,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.173,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.223,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.273,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.324,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.374,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.425,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.475,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.526,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.576,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.63,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.68,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.73,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.78,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.831,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.882,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.933,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1743.984,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1744.035,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1744.085,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1744.136,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1744.19,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1744.24,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1744.29,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1744.342,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1744.392,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1744.443,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1744.493,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1744.543,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
1744.595,0,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
